"PROV","SEX","CFATINC"
12,1,145815
12,1,167365
12,2,48000
12,2,53150
12,1,55145
12,1,112720
12,2,42860
12,2,23025
12,2,149095
12,1,270280
12,1,267150
12,2,152060
12,1,91560
12,2,37350
12,1,54290
12,2,120075
12,1,41550
12,1,51835
12,2,39390
12,2,57840
12,1,103170
12,2,39825
12,2,134910
12,2,85665
12,1,42170
12,1,35950
12,1,65640
12,1,81120
12,2,68430
12,2,36030
12,1,79190
12,1,71585
12,1,28770
12,1,69160
12,1,46015
12,1,59490
12,2,96070
12,2,46680
12,1,93065
12,1,30200
12,1,72740
12,1,83415
12,2,26120
12,2,176170
12,2,18175
12,2,51180
12,2,46660
12,1,90930
12,2,77210
12,2,47830
12,2,155080
12,1,28625
12,2,48080
12,1,127875
12,1,80585
12,2,17425
12,2,107265
12,1,100870
12,2,77760
12,2,126390
12,1,92365
12,1,55140
12,1,23900
12,2,10925
12,2,44850
12,1,40750
12,2,120395
12,2,29400
12,1,52790
12,2,106050
12,2,88315
12,2,88315
12,1,82965
12,2,5675
12,1,54925
12,2,124230
12,1,124230
12,2,119835
12,1,113280
12,2,114535
12,2,101820
12,2,103450
12,1,151105
12,2,31510
12,1,95760
12,1,48305
12,1,62240
12,2,61735
12,2,63550
12,2,26350
12,2,139225
12,2,16675
12,1,26220
12,2,20450
12,2,105940
12,1,85825
12,2,12600
12,1,68850
12,1,21950
12,2,151475
12,2,33585
12,2,21450
12,1,23460
12,2,118260
12,1,36075
12,2,2450
12,2,55790
12,2,16375
12,1,150420
12,1,28875
12,1,161490
12,1,54105
12,1,36450
12,2,68470
12,2,78200
12,2,60600
12,1,65290
12,1,68050
12,2,9275
12,1,46830
12,1,96340
12,1,67800
12,2,69750
12,2,77270
12,2,35070
12,2,11125
12,2,57060
12,1,43490
12,1,47095
12,2,70350
12,1,49935
12,1,31725
12,2,28805
12,2,25975
12,2,34155
12,2,18395
12,2,62590
12,2,127090
12,1,26915
12,2,97780
12,1,14260
12,1,64060
12,1,28850
12,2,62030
12,1,66220
12,1,39150
12,1,36050
12,2,20950
12,2,172500
12,1,12875
12,2,145125
12,2,66015
12,2,21075
12,2,111465
12,2,128320
12,2,92675
12,2,32675
12,1,56310
12,1,19700
12,2,32475
12,1,23725
12,2,22630
12,1,69630
